"General Imports|Monthly data for 2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",,,,,,,,,,,,,,
Data Row Count,50,,,,,,,,,,,,,
Data Type,Country,Year,January,February,March,April,May,June,July,August,September,October,November,December
General Customs Value,Australia,2015,814426.00,501619.00,780941.00,1235026.00,1261810.00,1198574.00,1488345.00,892927.00,1074798.00,1412572.00,1399158.00,1114885.00
General Customs Value,Australia,2016,1616883.00,652777.00,1320305.00,1259634.00,1229924.00,916784.00,896794.00,1163656.00,1185594.00,946835.00,1354844.00,1378392.00
General Customs Value,Australia,2017,1095483.00,1693187.00,1463703.00,1090823.00,1313736.00,1132710.00,1209141.00,1601236.00,1204128.00,1377860.00,1195111.00,1900318.00
General Customs Value,Australia,2018,1393334.00,1521218.00,2930953.00,1753727.00,1857664.00,1850400.00,3295996.00,2030725.00,1734471.00,4816596.00,2748751.00,2109306.00
General Customs Value,Australia,2019,4045321.00,2381047.00,3934090.00,4362461.00,3796297.00,2658983.00,2044025.00,3474539.00,3311779.00,5163906.00,2560005.00,3607209.00
General Customs Value,Australia,2020,3981896.00,2172917.00,3023377.00,2190325.00,2477250.00,2989587.00,2313403.00,2197035.00,1694178.00,1702985.00,2807525.00,4719830.00
General Customs Value,Australia,2021,3689837.00,2172225.00,3369394.00,4124383.00,2866099.00,4459927.00,4281832.00,1325777.00,2946731.00,2961675.00,2309266.00,4304004.00
General Customs Value,Australia,2022,3077828.00,1952534.00,3968915.00,1848011.00,3500890.00,3205201.00,2933134.00,1951306.00,3148548.00,1842554.00,1652678.00,3334118.00
General Customs Value,Australia,2023,3271868.00,2110901.00,1996779.00,2238102.00,2297055.00,2444190.00,3039406.00,3258047.00,1741565.00,2038035.00,2387048.00,1617370.00
General Customs Value,Australia,2024,2825865.00,3224302.00,2460569.00,3606232.00,2823829.00,2319930.00,1962116.00,2660810.00,2298625.00,2883404.00,2188182.00,
General Customs Value,France,2015,32458142.00,47317275.00,53050175.00,55895683.00,42934307.00,59529460.00,46838710.00,44854708.00,51422957.00,39333739.00,55606497.00,53013053.00
General Customs Value,France,2016,41573297.00,48398480.00,42570744.00,42825764.00,46068481.00,48192204.00,47635669.00,59030875.00,38326420.00,44241562.00,56479432.00,56210302.00
General Customs Value,France,2017,43393562.00,53995722.00,51204205.00,44657246.00,64943539.00,44920214.00,67850119.00,48226819.00,57635804.00,57255415.00,53960663.00,49833885.00
General Customs Value,France,2018,55696543.00,52632047.00,60646184.00,64745107.00,46402500.00,47509173.00,57565136.00,68292616.00,56074587.00,64928281.00,51626770.00,71587436.00
General Customs Value,France,2019,34337911.00,40442269.00,46521942.00,56166527.00,60461986.00,50250417.00,64986485.00,52248619.00,46074009.00,48878262.00,48323918.00,54604113.00
General Customs Value,France,2020,44661368.00,40409397.00,66600797.00,26183823.00,25465999.00,40016218.00,55584115.00,54936966.00,54495479.00,47668085.00,37949838.00,106345395.00
General Customs Value,France,2021,38722609.00,33494794.00,55381962.00,43404137.00,59598862.00,58302866.00,59361855.00,66758044.00,80914111.00,72284565.00,61033216.00,70537094.00
General Customs Value,France,2022,36438246.00,54242072.00,63351336.00,51252685.00,50034457.00,72515787.00,84076523.00,79267109.00,68888036.00,83948265.00,71473715.00,97795266.00
General Customs Value,France,2023,81463771.00,55024679.00,84246134.00,74018028.00,94640456.00,80021449.00,77742878.00,82985725.00,51461207.00,76931494.00,59889563.00,70486262.00
General Customs Value,France,2024,82160507.00,80734103.00,97556240.00,82783195.00,82093062.00,62422648.00,91642486.00,77171100.00,61191937.00,62190357.00,72108637.00,
General Customs Value,Japan,2015,5029774.00,3359736.00,6447236.00,6833089.00,7348397.00,7187101.00,6655835.00,5285596.00,4962041.00,4553392.00,8916536.00,7794344.00
General Customs Value,Japan,2016,7391143.00,6165879.00,6101638.00,7255410.00,8330719.00,7231448.00,8100177.00,7390386.00,7020401.00,5329909.00,8774827.00,9687086.00
General Customs Value,Japan,2017,6729035.00,7267204.00,10283186.00,6522333.00,10139214.00,11580541.00,10988620.00,11864490.00,8502836.00,8919623.00,13700191.00,10544802.00
General Customs Value,Japan,2018,7667730.00,8885901.00,8745969.00,7537697.00,11514380.00,13640294.00,12019047.00,13504923.00,12696932.00,10003488.00,11444067.00,12773451.00
General Customs Value,Japan,2019,10537110.00,5374313.00,12631771.00,10741055.00,5772452.00,10423698.00,14875990.00,10471841.00,8548151.00,10439568.00,8968971.00,9293775.00
General Customs Value,Japan,2020,6364793.00,8787794.00,10791547.00,6080146.00,7481724.00,7725520.00,7373655.00,10520896.00,7729673.00,8311136.00,10212196.00,8508513.00
General Customs Value,Japan,2021,6122782.00,12830642.00,10884366.00,8459494.00,8520682.00,11348498.00,13785145.00,11049092.00,11349351.00,12189768.00,8188727.00,13353428.00
General Customs Value,Japan,2022,17904374.00,11784235.00,13919359.00,11272454.00,13149791.00,15065572.00,7231220.00,14515434.00,11106373.00,10491134.00,12618199.00,12919214.00
General Customs Value,Japan,2023,11445926.00,8474915.00,8943154.00,9815517.00,6788661.00,11319310.00,9100378.00,10272367.00,12960218.00,10727272.00,9572084.00,8599704.00
General Customs Value,Japan,2024,8259390.00,8179487.00,15479026.00,11032890.00,7628302.00,23800159.00,14579946.00,8878992.00,10600690.00,15909725.00,19416022.00,
General Customs Value,South Korea,2015,8919729.00,8089841.00,13678483.00,10617843.00,11135554.00,10599733.00,10698244.00,9734362.00,10977004.00,12598740.00,9700574.00,10120171.00
General Customs Value,South Korea,2016,12298925.00,11637799.00,13438345.00,13293121.00,12081466.00,14921847.00,22561828.00,20231941.00,17608926.00,18778158.00,22145301.00,18170824.00
General Customs Value,South Korea,2017,19598380.00,19586991.00,20421313.00,21151956.00,29888934.00,31698720.00,29541843.00,36637866.00,27830156.00,24394741.00,24191039.00,25213483.00
General Customs Value,South Korea,2018,29560577.00,24401614.00,28206780.00,27759386.00,29345280.00,31420546.00,43820142.00,39047328.00,30124663.00,34693616.00,29477081.00,33949152.00
General Customs Value,South Korea,2019,34282396.00,22650458.00,29717324.00,29770401.00,29407966.00,31002168.00,29275897.00,33818847.00,32033982.00,31532771.00,27577614.00,30616175.00
General Customs Value,South Korea,2020,30705332.00,20693015.00,28118620.00,32061648.00,26707301.00,27536849.00,39464157.00,34784829.00,28283519.00,40982572.00,38563017.00,40341647.00
General Customs Value,South Korea,2021,30387346.00,37146680.00,48091080.00,42247030.00,46246055.00,66645814.00,43328427.00,46443783.00,50632026.00,42626460.00,31280286.00,36534715.00
General Customs Value,South Korea,2022,40269032.00,39974799.00,48909453.00,50907308.00,57103772.00,52486357.00,50596958.00,43298520.00,51962771.00,42262442.00,45655971.00,34329853.00
General Customs Value,South Korea,2023,48887842.00,41652299.00,51304974.00,68974742.00,61738409.00,62428478.00,83935406.00,62769086.00,77307093.00,90062409.00,70544527.00,72152912.00
General Customs Value,South Korea,2024,87314701.00,70440457.00,95508207.00,105409391.00,113298404.00,122880292.00,112433896.00,105902060.00,161839277.00,126429274.00,118570518.00,
General Customs Value,United Kingdom,2015,16137711.00,13457345.00,18183063.00,15581839.00,15776408.00,14301669.00,16300730.00,18598073.00,16270191.00,14825671.00,17093938.00,16249122.00
General Customs Value,United Kingdom,2016,17614369.00,17953386.00,20059631.00,17897862.00,19124215.00,16673002.00,21219131.00,18245588.00,23370240.00,22047487.00,21078485.00,18527768.00
General Customs Value,United Kingdom,2017,12631429.00,16405398.00,16173128.00,18049260.00,17613037.00,21032069.00,21193087.00,17086977.00,21506422.00,20029478.00,21290350.00,23567430.00
General Customs Value,United Kingdom,2018,15734479.00,22339243.00,25502152.00,20955644.00,26808754.00,21435692.00,18595517.00,18769938.00,21611175.00,23974609.00,22600591.00,19931826.00
General Customs Value,United Kingdom,2019,21539809.00,20043770.00,24609606.00,29263727.00,32226807.00,13977476.00,24078460.00,27535943.00,30875862.00,26143996.00,23724083.00,21982299.00
General Customs Value,United Kingdom,2020,23913210.00,17657631.00,21122671.00,13856914.00,9430593.00,18244435.00,24197468.00,22386295.00,22890854.00,23023504.00,21391897.00,17498147.00
General Customs Value,United Kingdom,2021,16295673.00,17671760.00,19061621.00,18188211.00,20367173.00,24124623.00,23071724.00,16707330.00,17961750.00,19949936.00,25197373.00,19264493.00
General Customs Value,United Kingdom,2022,17474456.00,16609273.00,23339793.00,18343334.00,19758272.00,22211706.00,16590025.00,20053930.00,18960545.00,17554703.00,18698040.00,17752821.00
General Customs Value,United Kingdom,2023,18285000.00,15453199.00,21062687.00,16446791.00,16254625.00,26108989.00,20276128.00,23252450.00,16925818.00,17749451.00,23018020.00,22559794.00
General Customs Value,United Kingdom,2024,16115522.00,18854450.00,20256086.00,22223415.00,21102582.00,19558964.00,21327003.00,20136801.00,19771923.00,14488828.00,21517400.00,
Total: ,,,"1,122,136,672","1,078,903,079","1,337,371,014","1,244,190,827","1,298,158,132","1,355,468,292","1,453,964,252","1,393,524,603","1,381,045,827","1,383,830,308","1,334,182,742","1,226,735,187"
